time,Network.host[0].app.Throughput:vector
3.080633376448,80632.8
3.08162571001,80632.8
3.082618043572,80632.8
3.083610377134,80632.8
3.084602710696,80632.8
3.085595044258,80632.7
3.08658737782,80632.7
3.087579711382,80632.7
3.088572044944,80632.7
3.089564378506,80632.7
3.090556712068,80632.7
3.09154904563,80632.7
3.092541379192,80632.7
3.093533712754,80632.7
3.094526046316,80632.7
3.095518379878,80632.7
3.09651071344,80632.7
3.097503047002,80632.7
3.098495380564,80632.7
3.099487714126,80632.7
3.100480047688,80632.7
3.10147238125,80632.7
3.102464714812,80632.7
3.103457048374,80632.7
3.104449381936,80632.7
3.105441715498,80632.7
3.10643404906,80632.6
3.107426382622,80632.6
3.108418716184,80632.6
3.109411049746,80632.6
3.110403383308,80632.6
3.11139571687,80632.6
3.112388050432,80632.6
3.113380383994,80632.6
3.114372717556,80632.6
3.115365051118,80632.6
3.11635738468,80632.6
3.117349718242,80632.6
3.118342051804,80632.6
3.119334385366,80632.6
3.120326718928,80632.6
3.12131905249,80632.6
3.122311386052,80632.6
3.123303719614,80632.6
3.124296053176,80632.6
3.125288386738,80632.6
3.1262807203,80632.6
3.127273053862,80632.5
3.128265387424,80632.5
3.129257720986,80632.5
3.130250054548,80632.5
3.13124238811,80632.5
3.132234721672,80632.5
3.133227055234,80632.5
3.134219388796,80632.5
3.135211722358,80632.5
3.13620405592,80632.5
3.137196389482,80632.5
3.138188723044,80632.5
3.139181056606,80632.5
3.140173390168,80632.5
3.14116572373,80632.5
3.142158057292,80632.5
3.143150390854,80632.5
3.144142724416,80632.5
3.145135057978,80632.5
3.14612739154,80632.5
3.147119725102,80632.5
3.148112058664,80632.5
3.149104392226,80632.4
3.150096725788,80632.4
3.15108905935,80632.4
3.152081392912,80632.4
3.153073726474,80632.4
3.154066060036,80632.4
3.155058393598,80632.4
3.15605072716,80632.4
3.157043060722,80632.4
3.158035394284,80632.4
3.159027727846,80632.4
3.160020061408,80632.4
3.16101239497,80632.4
3.162004728532,80632.4
3.162997062094,80632.4
3.163989395656,80632.4
3.164981729218,80632.4
3.16597406278,80632.4
3.166966396342,80632.4
3.167958729904,80632.4
3.168951063466,80632.4
3.169943397028,80632.4
3.17093573059,80632.4
3.171928064152,80632.3
3.172920397714,80632.3
3.173912731276,80632.3
3.174905064838,80632.3
3.1758973984,80632.3
3.176889731962,80632.3
3.177882065524,80632.3
3.178874399086,80632.3
3.179866732648,80632.3
3.18085906621,80632.3
3.181851399772,80632.3
3.182843733334,80632.3
3.183836066896,80632.3
3.184828400458,80632.3
3.18582073402,80632.3
3.186813067582,80632.3
3.187805401144,80632.3
3.188797734706,80632.3
3.189790068268,80632.3
3.19078240183,80632.3
3.191774735392,80632.3
3.192767068954,80632.3
3.193759402516,80632.2
3.194751736078,80632.2
3.19574406964,80632.2
3.196736403202,80632.2
3.197728736764,80632.2
3.198721070326,80632.2
3.199713403888,80632.2
3.20070573745,80632.2
3.201698071012,80632.2
3.202690404574,80632.2
3.203682738136,80632.2
3.204675071698,80632.2
3.20566740526,80632.2
3.206659738822,80632.2
3.207652072384,80632.2
3.208644405946,80632.2
3.209636739508,80632.2
3.21062907307,80632.2
3.211621406632,80632.2
3.212613740194,80632.2
3.213606073756,80632.2
3.214598407318,80632.2
3.21559074088,80632.2
3.216583074442,80632.1
3.217575408004,80632.1
3.218567741566,80632.1
3.219560075128,80632.1
3.22055240869,80632.1
3.221544742252,80632.1
3.222537075814,80632.1
3.223529409376,80632.1
3.224521742938,80632.1
3.2255140765,80632.1
3.226506410062,80632.1
3.227498743624,80632.1
3.228491077186,80632.1
3.229483410748,80632.1
3.23047574431,80632.1
3.231468077872,80632.1
